2026-02-19 08:20:06 | SIMULATION | SESSION_START | 0.00000000 | 0.00000000 | 400.00 | MARKET | 400.00
2026-02-19 08:20:42 | SIMULATION | BUY | 350687.00000000 | 0.00113948 | 400.00 | MARKET | 399.60
2026-02-19 08:20:50 | SIMULATION | SELL | 350640.00000000 | 0.00113948 | 399.15 | MARKET | 399.15
2026-02-19 08:21:36 | SIMULATION | BUY | 350741.00000000 | 0.00113687 | 399.15 | MARKET | 398.75
2026-02-19 08:22:04 | SIMULATION | SELL | 350640.00000000 | 0.00113687 | 398.23 | MARKET | 398.23
2026-02-19 08:22:52 | SIMULATION | BUY | 350677.00000000 | 0.00113448 | 398.23 | MARKET | 397.84
2026-02-19 08:23:48 | SIMULATION | SELL | 350674.00000000 | 0.00113448 | 397.43 | MARKET | 397.43
2026-02-19 08:25:26 | SIMULATION | BUY | 350698.00000000 | 0.00113213 | 397.43 | MARKET | 397.04
2026-02-19 08:25:54 | SIMULATION | SELL | 350606.00000000 | 0.00113213 | 396.54 | MARKET | 396.54
2026-02-19 08:26:52 | SIMULATION | BUY | 350747.00000000 | 0.00112942 | 396.54 | MARKET | 396.14
2026-02-19 08:27:52 | SIMULATION | SELL | 350743.00000000 | 0.00112942 | 395.74 | MARKET | 395.74
2026-02-19 08:27:59 | SIMULATION | BUY | 350743.00000000 | 0.00112716 | 395.74 | MARKET | 395.34
2026-02-19 08:28:10 | SIMULATION | SELL | 350710.00000000 | 0.00112716 | 394.91 | MARKET | 394.91
2026-02-19 08:31:34 | SIMULATION | BUY | 350431.00000000 | 0.00112580 | 394.91 | MARKET | 394.52
2026-02-19 08:31:49 | SIMULATION | SELL | 350359.00000000 | 0.00112580 | 394.04 | MARKET | 394.04
2026-02-19 08:32:02 | SIMULATION | BUY | 350395.00000000 | 0.00112344 | 394.04 | MARKET | 393.65
2026-02-19 08:32:07 | SIMULATION | SELL | 350333.00000000 | 0.00112344 | 393.18 | MARKET | 393.18
