2026-05-03 14:47:29 | [ORDER] BUY | BTC/BRL | Preço=R$391,192.00 | Qtd=0.00011492 BTC | Valor=R$45.00 | Taxa=R$0.0450 | Motivo=tendencia_cascata_agressiva | Status=EXECUTADA
2026-05-03 14:49:14 | [ORDER] SELL | BTC/BRL | Preço=R$391,151.00 | Qtd=0.00011492 BTC | Valor=R$44.91 | Taxa=R$0.0450 | Motivo=SIGNAL_EXIT | Status=EXECUTADA
2026-05-03 14:55:56 | [ORDER] BUY | BTC/BRL | Preço=R$392,790.67 | Qtd=0.00011441 BTC | Valor=R$44.99 | Taxa=R$0.0450 | Motivo=tendencia_cascata_agressiva | Status=EXECUTADA
2026-05-03 14:56:29 | [ORDER] SELL | BTC/BRL | Preço=R$390,487.38 | Qtd=0.00011441 BTC | Valor=R$44.63 | Taxa=R$0.0447 | Motivo=SIGNAL_EXIT | Status=EXECUTADA
2026-05-03 15:03:00 | [ORDER] BUY | BTC/BRL | Preço=R$392,134.59 | Qtd=0.00011447 BTC | Valor=R$44.93 | Taxa=R$0.0449 | Motivo=tendencia_cascata_agressiva | Status=EXECUTADA
2026-05-03 15:04:55 | [ORDER] SELL | BTC/BRL | Preço=R$390,839.00 | Qtd=0.00011447 BTC | Valor=R$44.69 | Taxa=R$0.0447 | Motivo=SIGNAL_EXIT | Status=EXECUTADA
2026-05-03 15:06:40 | [ORDER] BUY | BTC/BRL | Preço=R$391,122.83 | Qtd=0.00011468 BTC | Valor=R$44.90 | Taxa=R$0.0449 | Motivo=tendencia_cascata_agressiva | Status=EXECUTADA
2026-05-03 15:09:01 | [ORDER] SELL | BTC/BRL | Preço=R$390,652.00 | Qtd=0.00011468 BTC | Valor=R$44.75 | Taxa=R$0.0448 | Motivo=SIGNAL_EXIT | Status=EXECUTADA
2026-05-03 15:14:15 | [ORDER] BUY | BTC/BRL | Preço=R$390,693.00 | Qtd=0.00011475 BTC | Valor=R$44.88 | Taxa=R$0.0449 | Motivo=tendencia_cascata_agressiva | Status=EXECUTADA
2026-05-03 15:15:45 | [ORDER] SELL | BTC/BRL | Preço=R$390,646.00 | Qtd=0.00011475 BTC | Valor=R$44.78 | Taxa=R$0.0448 | Motivo=SIGNAL_EXIT | Status=EXECUTADA
2026-05-03 15:48:42 | [ORDER] BUY | BTC/BRL | Preço=R$393,170.61 | Qtd=0.00011399 BTC | Valor=R$44.86 | Taxa=R$0.0449 | Motivo=tendencia_cascata_agressiva | Status=EXECUTADA
2026-05-03 15:49:35 | [ORDER] SELL | BTC/BRL | Preço=R$392,741.12 | Qtd=0.00011399 BTC | Valor=R$44.72 | Taxa=R$0.0448 | Motivo=SIGNAL_EXIT | Status=EXECUTADA
2026-05-03 16:24:00 | [ORDER] BUY | BTC/BRL | Preço=R$385,756.82 | Qtd=0.00011612 BTC | Valor=R$44.84 | Taxa=R$0.0448 | Motivo=tendencia_cascata_agressiva | Status=EXECUTADA
2026-05-03 16:24:10 | [ORDER] SELL | BTC/BRL | Preço=R$385,370.86 | Qtd=0.00011612 BTC | Valor=R$44.71 | Taxa=R$0.0448 | Motivo=SIGNAL_EXIT | Status=EXECUTADA
2026-05-04 05:58:06 | [ORDER] BUY | BTC/BRL | Preço=R$386,137.50 | Qtd=0.00011596 BTC | Valor=R$44.82 | Taxa=R$0.0448 | Motivo=tendencia_cascata_agressiva | Status=EXECUTADA
2026-05-04 05:58:08 | [ORDER] SELL | BTC/BRL | Preço=R$395,926.00 | Qtd=0.00011596 BTC | Valor=R$45.86 | Taxa=R$0.0459 | Motivo=TP | Status=EXECUTADA
