data_hora,tipo,preco,quantidade,lucro,saldo_apos_trade,motivo_entrada,regime_mercado,distancia_media_percentual,desvio_padrao_atual
2026-05-03T19:24:11,SELL,385370.86,0.00011612,-0.1344,298.8024,SIGNAL_EXIT,lateral,0.000250,220.8410
2026-05-03T19:24:00,BUY,385756.82,0.00011612,0.0000,298.8920,tendencia_cascata_agressiva,tendencia_forte,0.000507,241.9476
2026-05-03T18:49:35,SELL,392741.12,0.00011399,-0.1386,298.9368,SIGNAL_EXIT,lateral,0.000085,176.1672
2026-05-03T18:48:42,BUY,393170.61,0.00011399,0.0000,299.0305,tendencia_cascata_agressiva,tendencia_forte,0.001149,154.7591
2026-05-03T18:15:46,SELL,390646.00,0.00011475,-0.0951,299.0754,SIGNAL_EXIT,lateral,0.000002,6.2936
2026-05-03T18:14:16,BUY,390693.00,0.00011475,0.0000,299.1256,tendencia_cascata_agressiva,tendencia_forte,0.000908,204.8205
2026-05-03T18:09:02,SELL,390652.00,0.00011468,-0.1437,299.1705,SIGNAL_EXIT,lateral,0.000013,2.1602
2026-05-03T18:06:40,BUY,391122.83,0.00011468,0.0000,299.2693,tendencia_cascata_agressiva,tendencia_forte,0.000605,243.2315
2026-05-03T17:56:29,SELL,390487.38,0.00011441,-0.3532,299.5521,SIGNAL_EXIT,tendencia_forte,0.000771,287.2390
2026-05-03T17:55:57,BUY,392790.67,0.00011441,0.0000,299.8604,tendencia_cascata_agressiva,tendencia_forte,0.001158,197.9043
2026-05-02T21:41:38,SELL,392523.00,0.00011449,-0.0432,299.5479,SIGNAL_EXIT,lateral,0.000241,56.8344
2026-05-02T21:40:23,BUY,392115.00,0.00011449,0.0000,299.5461,tendencia_cascata_agressiva,tendencia_forte,0.001025,131.2387
2026-05-02T21:32:08,SELL,389680.00,0.00011524,-0.0922,299.5910,SIGNAL_EXIT,lateral,0.000232,38.6912
2026-05-02T21:31:19,BUY,389700.00,0.00011524,0.0000,299.6382,tendencia_cascata_agressiva,tendencia_forte,0.001546,165.7126
2026-05-01T20:29:13,SELL,388002.00,0.00011528,-0.3168,299.6832,SIGNAL_EXIT,tendencia_forte,0.001047,198.1911
2026-05-01T20:28:32,BUY,389971.89,0.00011528,0.0000,299.9550,tendencia_cascata_agressiva,tendencia_forte,0.001129,178.8598
2026-04-28T17:10:18,SELL,378738.00,0.00007893,-0.0774,299.3429,SIGNAL_EXIT,tendencia,0.000025,27.0794
2026-04-28T17:09:31,BUY,378960.00,0.00007893,0.0000,299.3903,tendencia_agressiva_sem_crossover,tendencia,0.000102,23.6943
2026-04-28T16:31:53,SELL,378601.00,0.00007896,-0.0865,299.4202,SIGNAL_EXIT,tendencia,0.000051,32.2063
2026-04-28T16:30:33,BUY,378939.00,0.00007896,0.0000,299.4768,tendencia_agressiva_sem_crossover,tendencia,0.000123,19.9767
2026-04-28T15:52:07,SELL,379613.00,0.00007885,-0.0535,299.5068,SIGNAL_EXIT,lateral,0.000070,27.7910
2026-04-28T15:51:04,BUY,379532.00,0.00007885,0.0000,299.5303,tendencia_agressiva_sem_crossover,tendencia,0.000155,21.4442
2026-04-28T15:21:03,SELL,380218.00,0.00007870,-0.0697,299.5603,SIGNAL_EXIT,tendencia,0.000023,17.4041
2026-04-28T15:20:03,BUY,380343.00,0.00007870,0.0000,299.6000,tendencia_agressiva_sem_crossover,tendencia,0.000108,19.1360
2026-04-28T13:45:01,SELL,380344.00,0.00007872,-0.0738,299.7733,SIGNAL_EXIT,tendencia,0.000015,29.3629
2026-04-28T13:43:29,BUY,380520.00,0.00007872,0.0000,299.8171,tendencia_agressiva_sem_crossover,tendencia,0.000138,48.7089
