2026-04-28 10:29:20 | [ORDER] BUY | BTC/BRL | Preço=R$380,409.00 | Qtd=0.00007878 BTC | Valor=R$30.00 | Taxa=R$0.0300 | Motivo=tendencia_agressiva_sem_crossover | Status=EXECUTADA
2026-04-28 10:29:23 | [ORDER] SELL | BTC/BRL | Preço=R$380,561.00 | Qtd=0.00007878 BTC | Valor=R$29.95 | Taxa=R$0.0300 | Motivo=SIGNAL_EXIT | Status=EXECUTADA
2026-04-28 10:32:26 | [ORDER] BUY | BTC/BRL | Preço=R$380,028.00 | Qtd=0.00007885 BTC | Valor=R$30.00 | Taxa=R$0.0300 | Motivo=tendencia_agressiva_sem_crossover | Status=EXECUTADA
2026-04-28 10:33:27 | [ORDER] SELL | BTC/BRL | Preço=R$380,224.00 | Qtd=0.00007885 BTC | Valor=R$29.95 | Taxa=R$0.0300 | Motivo=SIGNAL_EXIT | Status=EXECUTADA
2026-04-28 10:35:40 | [ORDER] BUY | BTC/BRL | Preço=R$380,172.00 | Qtd=0.00007881 BTC | Valor=R$29.99 | Taxa=R$0.0300 | Motivo=tendencia_agressiva_sem_crossover | Status=EXECUTADA
2026-04-28 10:36:25 | [ORDER] SELL | BTC/BRL | Preço=R$380,167.00 | Qtd=0.00007881 BTC | Valor=R$29.93 | Taxa=R$0.0300 | Motivo=SIGNAL_EXIT | Status=EXECUTADA
2026-04-28 10:43:28 | [ORDER] BUY | BTC/BRL | Preço=R$380,520.00 | Qtd=0.00007872 BTC | Valor=R$29.98 | Taxa=R$0.0300 | Motivo=tendencia_agressiva_sem_crossover | Status=EXECUTADA
2026-04-28 10:45:00 | [ORDER] SELL | BTC/BRL | Preço=R$380,344.00 | Qtd=0.00007872 BTC | Valor=R$29.91 | Taxa=R$0.0299 | Motivo=SIGNAL_EXIT | Status=EXECUTADA
2026-04-28 10:45:59 | [ORDER] BUY | BTC/BRL | Preço=R$380,549.00 | Qtd=0.00007870 BTC | Valor=R$29.98 | Taxa=R$0.0300 | Motivo=tendencia_agressiva_sem_crossover | Status=EXECUTADA
2026-04-28 10:46:52 | [ORDER] SELL | BTC/BRL | Preço=R$381,030.00 | Qtd=0.00007870 BTC | Valor=R$29.96 | Taxa=R$0.0300 | Motivo=SIGNAL_EXIT | Status=EXECUTADA
2026-04-28 11:16:55 | [ORDER] BUY | BTC/BRL | Preço=R$379,656.00 | Qtd=0.00007887 BTC | Valor=R$29.98 | Taxa=R$0.0300 | Motivo=tendencia_agressiva_sem_crossover | Status=EXECUTADA
2026-04-28 11:17:45 | [ORDER] SELL | BTC/BRL | Preço=R$379,686.00 | Qtd=0.00007887 BTC | Valor=R$29.92 | Taxa=R$0.0299 | Motivo=SIGNAL_EXIT | Status=EXECUTADA
2026-04-28 11:47:57 | [ORDER] BUY | BTC/BRL | Preço=R$379,436.00 | Qtd=0.00007891 BTC | Valor=R$29.97 | Taxa=R$0.0300 | Motivo=tendencia_agressiva_sem_crossover | Status=EXECUTADA
2026-04-28 11:48:08 | [ORDER] SELL | BTC/BRL | Preço=R$379,388.00 | Qtd=0.00007891 BTC | Valor=R$29.91 | Taxa=R$0.0299 | Motivo=SIGNAL_EXIT | Status=EXECUTADA
2026-04-28 12:20:02 | [ORDER] BUY | BTC/BRL | Preço=R$380,343.00 | Qtd=0.00007870 BTC | Valor=R$29.96 | Taxa=R$0.0300 | Motivo=tendencia_agressiva_sem_crossover | Status=EXECUTADA
2026-04-28 12:21:02 | [ORDER] SELL | BTC/BRL | Preço=R$380,218.00 | Qtd=0.00007870 BTC | Valor=R$29.89 | Taxa=R$0.0299 | Motivo=SIGNAL_EXIT | Status=EXECUTADA
2026-04-28 12:51:03 | [ORDER] BUY | BTC/BRL | Preço=R$379,532.00 | Qtd=0.00007885 BTC | Valor=R$29.96 | Taxa=R$0.0300 | Motivo=tendencia_agressiva_sem_crossover | Status=EXECUTADA
2026-04-28 12:52:06 | [ORDER] SELL | BTC/BRL | Preço=R$379,613.00 | Qtd=0.00007885 BTC | Valor=R$29.90 | Taxa=R$0.0299 | Motivo=SIGNAL_EXIT | Status=EXECUTADA
2026-04-28 13:30:33 | [ORDER] BUY | BTC/BRL | Preço=R$378,939.00 | Qtd=0.00007896 BTC | Valor=R$29.95 | Taxa=R$0.0300 | Motivo=tendencia_agressiva_sem_crossover | Status=EXECUTADA
2026-04-28 13:31:52 | [ORDER] SELL | BTC/BRL | Preço=R$378,601.00 | Qtd=0.00007896 BTC | Valor=R$29.86 | Taxa=R$0.0299 | Motivo=SIGNAL_EXIT | Status=EXECUTADA
2026-04-28 14:09:31 | [ORDER] BUY | BTC/BRL | Preço=R$378,960.00 | Qtd=0.00007893 BTC | Valor=R$29.94 | Taxa=R$0.0299 | Motivo=tendencia_agressiva_sem_crossover | Status=EXECUTADA
2026-04-28 14:10:18 | [ORDER] SELL | BTC/BRL | Preço=R$378,738.00 | Qtd=0.00007893 BTC | Valor=R$29.86 | Taxa=R$0.0299 | Motivo=SIGNAL_EXIT | Status=EXECUTADA
