2026-03-07 12:32:12,635 | TRADE_CLOSE | lucro=-0.01 | lucro_pct=-0.20 | saldo_final=299.99
2026-03-07 12:36:15,315 | TRADE_CLOSE | lucro=-0.04 | lucro_pct=-0.63 | saldo_final=299.95
2026-03-07 12:39:31,041 | TRADE_CLOSE | lucro=0.01 | lucro_pct=0.11 | saldo_final=299.96
2026-03-07 12:46:21,739 | TRADE_CLOSE | lucro=-0.01 | lucro_pct=-0.20 | saldo_final=299.94
2026-03-07 12:49:25,539 | TRADE_CLOSE | lucro=-0.01 | lucro_pct=-0.11 | saldo_final=299.94
2026-03-07 12:52:41,126 | TRADE_CLOSE | lucro=-0.01 | lucro_pct=-0.12 | saldo_final=299.93
2026-03-07 12:56:50,749 | TRADE_CLOSE | lucro=-0.01 | lucro_pct=-0.15 | saldo_final=299.92
2026-03-07 12:59:13,501 | TRADE_CLOSE | lucro=0.00 | lucro_pct=0.08 | saldo_final=299.93
2026-03-07 13:03:35,209 | TRADE_CLOSE | lucro=-0.04 | lucro_pct=-0.62 | saldo_final=299.89
2026-03-07 13:04:14,683 | TRADE_CLOSE | lucro=0.01 | lucro_pct=0.10 | saldo_final=299.90
2026-03-07 13:08:00,718 | TRADE_CLOSE | lucro=0.01 | lucro_pct=0.24 | saldo_final=299.91
2026-03-07 13:16:04,664 | TRADE_CLOSE | lucro=-0.01 | lucro_pct=-0.09 | saldo_final=299.91
2026-03-07 13:33:09,797 | TRADE_CLOSE | lucro=0.01 | lucro_pct=0.23 | saldo_final=299.92
2026-04-18 14:26:10,074 | TRADE_CLOSE | lucro=-0.08 | lucro_pct=-0.27 | saldo_final=299.92
2026-04-18 15:02:35,602 | TRADE_CLOSE | lucro=-0.06 | lucro_pct=-0.21 | saldo_final=299.85
