2026-04-28 10:29:23 | [RESULT] PREJUÍZO | Entrada=R$380,409.00 | Saída=R$380,561.00 | PnL=R$-0.0480 (-0.160%) | Duração=0.0min | Motivo=SIGNAL_EXIT | Equity=R$299.95
2026-04-28 10:33:27 | [RESULT] PREJUÍZO | Entrada=R$380,028.00 | Saída=R$380,224.00 | PnL=R$-0.0445 (-0.148%) | Duração=1.0min | Motivo=SIGNAL_EXIT | Equity=R$299.91
2026-04-28 10:36:25 | [RESULT] PREJUÍZO | Entrada=R$380,172.00 | Saída=R$380,167.00 | PnL=R$-0.0603 (-0.201%) | Duração=0.7min | Motivo=SIGNAL_EXIT | Equity=R$299.85
2026-04-28 10:45:00 | [RESULT] PREJUÍZO | Entrada=R$380,520.00 | Saída=R$380,344.00 | PnL=R$-0.0738 (-0.246%) | Duração=1.5min | Motivo=SIGNAL_EXIT | Equity=R$299.77
2026-04-28 10:46:52 | [RESULT] PREJUÍZO | Entrada=R$380,549.00 | Saída=R$381,030.00 | PnL=R$-0.0221 (-0.074%) | Duração=0.9min | Motivo=SIGNAL_EXIT | Equity=R$299.75
2026-04-28 11:17:45 | [RESULT] PREJUÍZO | Entrada=R$379,656.00 | Saída=R$379,686.00 | PnL=R$-0.0576 (-0.192%) | Duração=0.8min | Motivo=SIGNAL_EXIT | Equity=R$299.69
2026-04-28 11:48:08 | [RESULT] PREJUÍZO | Entrada=R$379,436.00 | Saída=R$379,388.00 | PnL=R$-0.0637 (-0.213%) | Duração=0.2min | Motivo=SIGNAL_EXIT | Equity=R$299.63
2026-04-28 12:21:02 | [RESULT] PREJUÍZO | Entrada=R$380,343.00 | Saída=R$380,218.00 | PnL=R$-0.0697 (-0.233%) | Duração=1.0min | Motivo=SIGNAL_EXIT | Equity=R$299.56
2026-04-28 12:52:06 | [RESULT] PREJUÍZO | Entrada=R$379,532.00 | Saída=R$379,613.00 | PnL=R$-0.0535 (-0.179%) | Duração=1.1min | Motivo=SIGNAL_EXIT | Equity=R$299.51
2026-04-28 13:31:52 | [RESULT] PREJUÍZO | Entrada=R$378,939.00 | Saída=R$378,601.00 | PnL=R$-0.0865 (-0.289%) | Duração=1.3min | Motivo=SIGNAL_EXIT | Equity=R$299.42
2026-04-28 14:10:18 | [RESULT] PREJUÍZO | Entrada=R$378,960.00 | Saída=R$378,738.00 | PnL=R$-0.0774 (-0.258%) | Duração=0.8min | Motivo=SIGNAL_EXIT | Equity=R$299.34
